Entity,bins
the future,Bin 4 (Lowest)
the future concentration of American resources,Bin 1 (Highest)
the game,Bin 4 (Lowest)
the game Kingdom Hearts,Bin 2
"the gasoline, diesel, bitumen and other products",Bin 1 (Highest)
the genus,Bin 4 (Lowest)
the global automaker,Bin 2
the global financial crisis,Bin 3
the golf course,Bin 4 (Lowest)
the government,Bin 4 (Lowest)
the government that so closely monitored him,Bin 1 (Highest)
the grandchildren,Bin 3
the great ballet in the House-of-the-Moving-Walls,Bin 1 (Highest)
the great majority of cases,Bin 3
the ground ball,Bin 3
the group,Bin 4 (Lowest)
the gunfire,Bin 3
the gymnasium in Gotha,Bin 2
the hands of any of the Lebanese,Bin 2
the hard drive which you can point iTunes at,Bin 1 (Highest)
the heart of London's financial district,Bin 2
the help of a girlfriend,Bin 2
the heptathlon,Bin 1 (Highest)
the heroes of war,Bin 2
the highly successful Rocky Horror Show,Bin 2
the historic covered bridge,Bin 2
the horizontal bar event,Bin 2
the host city,Bin 3
the hot weather,Bin 3
the house to the plant,Bin 2
the idea of assisting their friends in the west,Bin 1 (Highest)
the idea of checks and balances,Bin 2
the ideas,Bin 4 (Lowest)
the immensely popular musical Joseph and the Amazing Technicolor Dreamcoat,Bin 1 (Highest)
the impact of the spreading ash cloud,Bin 2
the incident,Bin 4 (Lowest)
the induction ceremony,Bin 3
the industry,Bin 4 (Lowest)
the installation,Bin 4 (Lowest)
the insulation,Bin 4 (Lowest)
the interview's most newsworthy moment,Bin 1 (Highest)
the investigation,Bin 4 (Lowest)
the investigation and detention,Bin 2
the investigation into her death,Bin 2
the invitation of the Amphilochian Argives,Bin 1 (Highest)
the island,Bin 4 (Lowest)
the island of New Guinea Friday,Bin 1 (Highest)
the judge,Bin 4 (Lowest)
the judicial process,Bin 3
the key,Bin 4 (Lowest)
the kind of political system a country chooses,Bin 1 (Highest)
the landing spot,Bin 3
the larger states,Bin 3
the largest professional wrestling promotion in the world,Bin 2
the last four matches of the seven-match ODI series,Bin 1 (Highest)
the last games of the second and third sets,Bin 2
the last two years,Bin 3
the latest round of confrontation,Bin 2
the latest setbacks,Bin 2
the latest therapies,Bin 2
the latest version of the bill,Bin 2
the latter,Bin 4 (Lowest)
the latter country,Bin 4 (Lowest)
the lead,Bin 3
the left,Bin 4 (Lowest)
the legislature,Bin 4 (Lowest)
the length of a paperclip,Bin 1 (Highest)
the likes of Peres,Bin 2
the line,Bin 4 (Lowest)
the lion,Bin 4 (Lowest)
the litigation,Bin 3
the liver,Bin 4 (Lowest)
the lobby,Bin 4 (Lowest)
the loss of only three games,Bin 2
the lower house,Bin 4 (Lowest)
the lyrics of the title track,Bin 3
the main-stream Hinduism,Bin 2
the mainstream press,Bin 3
the majors,Bin 3
the mall-and,Bin 2
the market,Bin 4 (Lowest)
the market's collapse,Bin 2
the masala,Bin 3
the master of the Roman world,Bin 2
the match,Bin 4 (Lowest)
the material,Bin 4 (Lowest)
the mayor,Bin 4 (Lowest)
the measure,Bin 3
the media,Bin 4 (Lowest)
the mellow drama,Bin 2
the memorials and prayer services of the past,Bin 1 (Highest)
the ministers,Bin 4 (Lowest)
the ministry,Bin 4 (Lowest)
the missile shield effort,Bin 2
the modern naphthalene formula of two benzene rings sharing two carbon atoms,Bin 1 (Highest)
the money,Bin 4 (Lowest)
the month of December,Bin 3
"the moral hypocrisy at the heart of ""Settle the Score",Bin 1 (Highest)
the morning,Bin 4 (Lowest)
the mosque,Bin 4 (Lowest)
the most lightweight suits which can fit into any trend,Bin 1 (Highest)
the most likely target of a nuclear missile strike,Bin 2
the mother,Bin 4 (Lowest)
the motoring section on actions,Bin 1 (Highest)
the name of the stimulant,Bin 1 (Highest)
the nation's revival,Bin 2
the national power grid on Friday,Bin 2
the nearby village of Livenka,Bin 2
the negotiating table,Bin 3
the negotiations,Bin 4 (Lowest)
the negotiations with serious intent,Bin 2
the neighboring Bedouin tribes,Bin 2
the neighbouring town of Lannion,Bin 1 (Highest)
"the new executive producer, John Yorke",Bin 2
the new vocalist in Azores,Bin 1 (Highest)
the newly released papers,Bin 2
the next two days,Bin 3
the nineteenth century,Bin 4 (Lowest)
the noise level another notch,Bin 2
the non-State-owned economic sectors,Bin 2
the note,Bin 4 (Lowest)
"the novelists who tried to enrich the novels of the then East Pakistan, present Bangladesh",Bin 1 (Highest)
the official,Bin 4 (Lowest)
the old hotel zone,Bin 2
the old town of Aso,Bin 2
the oldest stone curved bridge,Bin 2
the ongoing investigation,Bin 3
the opening Australian round of the World Rally Championship on Thursday,Bin 1 (Highest)
the opening film,Bin 4 (Lowest)
"the operations in Mingora, the biggest city of Swat",Bin 1 (Highest)
the original GATT members,Bin 2
the other area jurisdictions,Bin 2
the other candidates,Bin 3
the other cats,Bin 3
the other hand,Bin 4 (Lowest)
the outside,Bin 4 (Lowest)
the overthrow of the Swiss Confederation and the establishment of the Helvetic Republic,Bin 1 (Highest)
the pace of massive layoffs,Bin 1 (Highest)
the package ONCE and the booklet,Bin 1 (Highest)
the packages,Bin 3
the past three decades,Bin 3
the past two weeks,Bin 3
the people,Bin 4 (Lowest)
the performances,Bin 3
the personal income tax,Bin 3
the petition,Bin 4 (Lowest)
the phone lines,Bin 3
the piano,Bin 4 (Lowest)
the place trying to beat you out because most gamers,Bin 1 (Highest)
the places least damaged by the quake,Bin 1 (Highest)
the planned protest route,Bin 3
the player piano,Bin 2
the poll,Bin 4 (Lowest)
the pool,Bin 4 (Lowest)
the pope,Bin 4 (Lowest)
the position of Tourism Minister which had been vacated by Isaac Herzog during a cabinet reshuffle caused by Yisrael Beiteinu's addition to Ehud Olmert's coalition,Bin 1 (Highest)
the possibility,Bin 4 (Lowest)
the poverty line,Bin 4 (Lowest)
the predominant Muslim north,Bin 2
the presence of the company in the automobile market,Bin 2
the president,Bin 4 (Lowest)
the president's session with reporters,Bin 1 (Highest)
the previous survey,Bin 3
the prime minister,Bin 3
the principal supporters of the partisan movement,Bin 1 (Highest)
the proceedings,Bin 4 (Lowest)
the process,Bin 4 (Lowest)
the programme,Bin 4 (Lowest)
the project,Bin 4 (Lowest)
the proposal,Bin 4 (Lowest)
the prospect of a diplomatic resolution,Bin 2
the protest,Bin 4 (Lowest)
the protests,Bin 4 (Lowest)
the province,Bin 4 (Lowest)
the provinces in the Philippines,Bin 2
the proximity of Cheru,Bin 2
the purchase of two old power plants from South Korea,Bin 1 (Highest)
the puter,Bin 2
the race,Bin 4 (Lowest)
the railroad mail carrier service,Bin 2
the railway platform,Bin 3
the rainy season,Bin 3
the range,Bin 4 (Lowest)
the reasons for this difference,Bin 2
the recession,Bin 4 (Lowest)
the region,Bin 4 (Lowest)
the regional body,Bin 2
the registration of all military equipment in the country,Bin 1 (Highest)
the reign of Diocletian,Bin 1 (Highest)
the reign of the Emperor Zeno,Bin 2
"the relief well, which should be completed within weeks",Bin 1 (Highest)
the remaining place to be decided in Moscow,Bin 1 (Highest)
the remains of the original tower,Bin 2
"the remote mountainous region, where heavily armed tribesmen hold sway",Bin 1 (Highest)
the renowned group of Afghans,Bin 2
the report,Bin 4 (Lowest)
the reporter,Bin 3
the rescue fund,Bin 3
the resolution approved Thursday,Bin 1 (Highest)
"the result of his close friendship and working relationship with another aggressive officer, Roger Keyes, whom he had first met in China fifteen years before",Bin 1 (Highest)
the return of the US Navy,Bin 2
the revenge play,Bin 2
the right decisions,Bin 3
the right spot,Bin 3
the rise in rates,Bin 2
the rise of Earth-friendly vehicles,Bin 1 (Highest)
the risk,Bin 4 (Lowest)
the roadmap and election plan,Bin 1 (Highest)
the role,Bin 4 (Lowest)
the routes for mountaineers,Bin 2
the ruling criminal regime,Bin 2
the sales,Bin 4 (Lowest)
the same and the area of mutual interests,Bin 1 (Highest)
the same day the CPA was formed,Bin 1 (Highest)
the same time,Bin 4 (Lowest)
the same year,Bin 3
"the scandal, which paralysed parliament for the entire winter session, saying other independent investigations were probing the allegations",Bin 1 (Highest)
the scene,Bin 4 (Lowest)
the script,Bin 4 (Lowest)
the season-opening games,Bin 2
the second half of next year,Bin 2
"the second half, by which time he had been replaced, little more than a procession",Bin 1 (Highest)
the second night,Bin 4 (Lowest)
the second night in a row,Bin 2
the second quarter,Bin 4 (Lowest)
the second round,Bin 3
the second round of the match play,Bin 2
the second round of the season-opening SBS Championship on Friday,Bin 1 (Highest)
the second rounds of ITF,Bin 2
the seeds,Bin 4 (Lowest)
the sentence,Bin 4 (Lowest)
the series' second soundtrack,Bin 2
"the settlement Tubabodaga (""village of the whites "")",Bin 1 (Highest)
the shadowy insurgents,Bin 2
the shafts,Bin 3
the sheik,Bin 2
the shmoo's comic book adventures,Bin 1 (Highest)
the side,Bin 4 (Lowest)
the sight of God,Bin 3
the sill,Bin 3
the site of a hospital,Bin 3
the site of the station,Bin 3
the situation,Bin 4 (Lowest)
the sixth hour,Bin 3
the slalom course,Bin 3
the small finish circuit,Bin 2
"the small populations, mainly of some of the Adivasi and the Andamanese people in India and the Veddas in Sri Lanka",Bin 1 (Highest)
the small town of Vinci,Bin 2
the snail's throat,Bin 2
the social and economic development,Bin 4 (Lowest)
the society,Bin 4 (Lowest)
the songwriter and singer for four songs,Bin 1 (Highest)
"the sound of ""I Can See Clearly Now",Bin 1 (Highest)
the south,Bin 4 (Lowest)
the southern German city of Speyer,Bin 2
the southernmost atoll,Bin 2
the species,Bin 4 (Lowest)
the speed with which traffic moved,Bin 2
the spill,Bin 3
the spinning rate of silk,Bin 2
the split between FOTA and the FIA,Bin 1 (Highest)
the sport,Bin 4 (Lowest)
the spring,Bin 4 (Lowest)
"the squad, which dropped from Premier League runner-up to seventh place last season--denying them a spot in this season's Champions League",Bin 1 (Highest)
the stadium,Bin 4 (Lowest)
the standards for listing of that organization,Bin 1 (Highest)
the state,Bin 4 (Lowest)
the state administrations,Bin 2
the steps,Bin 4 (Lowest)
the stock,Bin 4 (Lowest)
the stores,Bin 4 (Lowest)
the story-based on his own love-life-in installments,Bin 1 (Highest)
the strength of the Metropolitan Police,Bin 2
the strongest possible terms,Bin 2
the subsidized maize scheme and free primary education program,Bin 1 (Highest)
the substitutes' bench,Bin 3
the surgeon,Bin 4 (Lowest)
the suspects,Bin 4 (Lowest)
the tainted drywall problem,Bin 2
the task,Bin 4 (Lowest)
"the task to develop and support international scientific networks, especially with developing countries as partners",Bin 1 (Highest)
the team,Bin 4 (Lowest)
the temperate and tropical parts of Eurasia and parts of Australasia,Bin 1 (Highest)
the temperature,Bin 4 (Lowest)
the term used within the European Union to encompass activities related to the achievement of an inclusive information society,Bin 1 (Highest)
the test,Bin 4 (Lowest)
the third largest LDS retail bookstore,Bin 1 (Highest)
the threat of SARS,Bin 3
the three releases,Bin 2
the tide against extremism,Bin 1 (Highest)
the time,Bin 4 (Lowest)
the time his talks with Mr. Pilson are completed later this month,Bin 1 (Highest)
the top candidate to take the reins from the Anfield boss,Bin 1 (Highest)
the top of the Billboard charts,Bin 3
the top spot,Bin 3
the top ten positions,Bin 3
the torch,Bin 4 (Lowest)
the track to hit Joey Logano which brought out the third caution of the day,Bin 1 (Highest)
the trade unionists,Bin 2
the tradition,Bin 4 (Lowest)
the trailers,Bin 3
the train bombings,Bin 2
the training center of Antonio Rodrigo Nogueira and Antonio Rogerio Nogueira,Bin 1 (Highest)
the transfer of Dempsey,Bin 2
the transition,Bin 3
the transitional government side,Bin 2
the trophy,Bin 4 (Lowest)
the tropical cyclone belt,Bin 3
the two of us,Bin 3
the two places' advantages,Bin 2
"the type of volcanoes that tend to produce plumes of harmful ashes, in that the country's volcanoes are often covered by glaciers",Bin 1 (Highest)
the underwriter,Bin 3
"the unit, along with its commander",Bin 2
the universe,Bin 4 (Lowest)
the use of ultrasonography or auscultation of the heart sounds,Bin 1 (Highest)
the usual collaborators,Bin 2
the various Indian cultures,Bin 3
the varsity football coach,Bin 2
the vast majority of its territory-previously,Bin 2
the very near future,Bin 2
the victims,Bin 4 (Lowest)
the village,Bin 4 (Lowest)
the village of Bear Creek,Bin 2
"the village of Polegate, near Eastbourne",Bin 1 (Highest)
the visitors,Bin 4 (Lowest)
the votes,Bin 4 (Lowest)
the war,Bin 4 (Lowest)
the weak dollar,Bin 2
the webcomic xkcd and the satirical news organization The Onion,Bin 1 (Highest)
the website of The Sun Herald,Bin 2
the week that ended Wednesday,Bin 2
the weekend,Bin 3
the west of Hull city centre,Bin 2
the west of Ile Jesus,Bin 1 (Highest)
the western Javanese port of,Bin 2
the western hemisphere's second enormous earthquake,Bin 1 (Highest)
the western world,Bin 4 (Lowest)
the widespread skepticism in China over financial reporting,Bin 1 (Highest)
the word meze,Bin 2
the works,Bin 4 (Lowest)
the world,Bin 4 (Lowest)
the worldwide web (internet) came,Bin 2
the wreckage,Bin 4 (Lowest)
the writings of Adomnan,Bin 1 (Highest)
the wrong circumstances,Bin 3
the years,Bin 4 (Lowest)
the-LCB-government-RCB-bond market,Bin 1 (Highest)
their ancestors,Bin 3
their base,Bin 3
their compatriots,Bin 1 (Highest)
their confluence,Bin 3
their efforts to prove their claim to Rancho La Brea,Bin 1 (Highest)
their energy dependence,Bin 3
their final resting places,Bin 3
their first football game,Bin 3
their first spring training game,Bin 2
their games,Bin 3
"their international debut album, Identity Crisis",Bin 2
their licenses,Bin 3
their lives,Bin 4 (Lowest)
their moniker,Bin 3
their mutual funds,Bin 2
their offensive plans,Bin 2
their opponents,Bin 3
their options,Bin 3
their owner,Bin 3
their plans,Bin 4 (Lowest)
their professional football careers end,Bin 2
their researches,Bin 3
their return to Taiwan,Bin 2
their speed and agility,Bin 2
them,Bin 4 (Lowest)
themselves,Bin 4 (Lowest)
these outrageous acts,Bin 2
these quite intense periods,Bin 2
these rates,Bin 3
these shows,Bin 3
these things,Bin 3
they,Bin 4 (Lowest)
things,Bin 4 (Lowest)
thirty one years,Bin 2
this Mandelson,Bin 2
this Panhandle city,Bin 1 (Highest)
"this case Europa, daughter of the king of Tyre",Bin 1 (Highest)
this encouragement,Bin 3
this fall,Bin 3
"this famously liberal, progressive city",Bin 2
this field,Bin 3
this incident,Bin 4 (Lowest)
this knowledge,Bin 3
this memory,Bin 3
this method,Bin 4 (Lowest)
this one having a peaceful ending,Bin 1 (Highest)
this person,Bin 3
this problem,Bin 4 (Lowest)
this ruling on the Danubius suit,Bin 1 (Highest)
this species and the vendace (Coregonus albula),Bin 1 (Highest)
this story,Bin 3
this terminology several years,Bin 1 (Highest)
this time,Bin 3
this unguarded section of cliff,Bin 1 (Highest)
this year's selection,Bin 2
those details when we have them,Bin 2
"those in Manhattan and Brooklyn, N.Y., and New Jersey",Bin 1 (Highest)
those produced in Cebu making it to export markets around the world,Bin 1 (Highest)
those products,Bin 3
three games,Bin 4 (Lowest)
three goals,Bin 4 (Lowest)
three men,Bin 4 (Lowest)
three months,Bin 3
three months to clean up viral contamination that had been slowing production,Bin 1 (Highest)
three points from the,Bin 3
three times as much,Bin 3
three west Hungarian villages,Bin 2
three years,Bin 4 (Lowest)
tickets to concerts,Bin 3
time,Bin 4 (Lowest)
time consuming and complicated,Bin 2
time for New Year,Bin 2
today,Bin 4 (Lowest)
today's,Bin 2
today's Internet attackers,Bin 2
tonight,Bin 4 (Lowest)
top flight teams,Bin 3
torrential rains and severe flooding,Bin 1 (Highest)
tournament runners-up,Bin 2
traffic,Bin 4 (Lowest)
training,Bin 4 (Lowest)
tramadol,Bin 2
transitions,Bin 4 (Lowest)
transnational men's professional club basketball competition,Bin 1 (Highest)
tribal leaders and other activists,Bin 2
troops,Bin 4 (Lowest)
trumpet,Bin 4 (Lowest)
tuition,Bin 4 (Lowest)
two Voyager spacecraft,Bin 3
two campuses in Mesa and Phoenix,Bin 1 (Highest)
two clear roads,Bin 3
"two former Guantanamo detainees, Ravil Gumarov and Timur Ishmuratov",Bin 1 (Highest)
two men,Bin 4 (Lowest)
two more times,Bin 3
two records,Bin 3
two series of tax-exempt bonds,Bin 2
two shots,Bin 3
two weeks,Bin 4 (Lowest)
two years of Leo's death,Bin 2
uh the beefier,Bin 1 (Highest)
"understanding, communication and friendship",Bin 2
unemployment,Bin 4 (Lowest)
uranium,Bin 4 (Lowest)
us,Bin 3
use,Bin 4 (Lowest)
valuable signings,Bin 2
various Hollywood actors,Bin 3
various collections of humorous short stories recited by Cal Stewart,Bin 1 (Highest)
various representatives of the genus Cardamine,Bin 1 (Highest)
various world championships and Olympic Games,Bin 2
victory,Bin 4 (Lowest)
videos,Bin 4 (Lowest)
volume at the exchange,Bin 2
volunteer,Bin 4 (Lowest)
voters,Bin 4 (Lowest)
way,Bin 4 (Lowest)
ways,Bin 4 (Lowest)
we,Bin 4 (Lowest)
western Europe,Bin 3
western North America three beetles,Bin 1 (Highest)
whale anatomy,Bin 2
what cost,Bin 2
wheels,Bin 4 (Lowest)
wine,Bin 4 (Lowest)
"wolves, lynxes and eagle owls",Bin 1 (Highest)
women,Bin 4 (Lowest)
women and children,Bin 3
work,Bin 4 (Lowest)
work release,Bin 3
work safety,Bin 3
world domination,Bin 4 (Lowest)
world leaders,Bin 3
written test,Bin 3
years,Bin 4 (Lowest)
you,Bin 4 (Lowest)
young guys with their personalized photo albums and their dressing,Bin 1 (Highest)
young men and women,Bin 3
your expenses,Bin 3
your mongrel cluster,Bin 1 (Highest)
your sense,Bin 3
zone,Bin 4 (Lowest)
